dataset,n_assets,k,method,type,lambda,objective_family,reported_weighting,seed_count,best_objective,mean_objective,std_objective,mean_return,mean_risk,feasible_rate,mean_runtime_seconds,best_selection_or_weights,notes
Synthetic generated n=4,4,2,Classical exhaustive search,classical,4,binary_qubo,equal_weight_selected,1,0.285137,0.285137,0.000000,0.102055,0.174865,1.000000,0.000196,1010,Exact binary cardinality baseline
Synthetic generated n=4,4,2,Classical top-return heuristic,classical heuristic,4,binary_qubo,equal_weight_selected,1,0.377932,0.377932,0.000000,0.161566,0.209324,1.000000,0.002043,0011,Selects the K largest expected returns
Synthetic generated n=4,4,2,Classical minimum-variance subset,classical heuristic,4,binary_qubo,equal_weight_selected,1,0.285137,0.285137,0.000000,0.102055,0.174865,1.000000,0.000112,1010,Selects the feasible subset with the lowest quadratic variance
Synthetic generated n=4,4,,Classical equal weight,classical heuristic,4,fractional_simplex,simplex_weights,1,-0.050496,-0.050496,0.000000,0.118063,0.129968,1.000000,0.000029,[0.250000 0.250000 0.250000 0.250000],Uniform long-only allocation baseline
Synthetic generated n=4,4,,Classical exact Markowitz,classical,4,fractional_simplex,simplex_weights,1,-0.053292,-0.053292,0.000000,0.125046,0.133935,1.000000,0.004366,[0.197536 0.220799 0.308951 0.272714],Exact long-only simplex baseline from active-set enumeration
Synthetic generated n=4,4,2,Binary VQE best feasible,quantum,4,binary_qubo,equal_weight_selected,3,0.285137,0.289414,0.006049,0.107872,0.177643,0.978516,1.506894,1010,Falls back to Top-K projection if no feasible sample is observed
Synthetic generated n=4,4,2,QAOA X best feasible,quantum,4,binary_qubo,equal_weight_selected,3,0.285137,0.285137,0.000000,0.102055,0.174865,0.699219,1.702891,1010,Falls back to Top-K projection if no feasible sample is observed
Synthetic generated n=4,4,2,QAOA XY best feasible,quantum,4,binary_qubo,equal_weight_selected,3,0.285137,0.285137,0.000000,0.102055,0.174865,1.000000,2.084379,1010,Falls back to Top-K projection if no feasible sample is observed
Synthetic generated n=4,4,,Fractional VQE,quantum,4,fractional_simplex,simplex_weights,3,-0.053289,-0.052921,0.000415,0.123596,0.132920,1.000000,0.436925,[0.196860 0.219772 0.308378 0.274990],Simplex-normalized allocation
