dataset,method,ansatz,depth,objective_family,reported_weighting,seed_count,best_objective,mean_objective,std_objective,mean_return,mean_risk,feasible_rate,mean_runtime_seconds,best_selection_or_weights,notes
Synthetic ansatz n=4,Classical exhaustive search,-,0,binary_qubo,equal_weight_selected,1,0.285137,0.285137,0.000000,0.102055,0.174865,1.000000,0.000000,1010,Exact binary cardinality baseline
Synthetic ansatz n=4,Binary VQE,ry_cz,2,binary_qubo,equal_weight_selected,3,0.285137,0.289414,0.006049,0.107872,0.177643,0.978516,0.557881,1010,"Best feasible sampled candidate, falling back to Top-K projection"
Synthetic ansatz n=4,Binary VQE,ry_rz_cz,2,binary_qubo,equal_weight_selected,3,0.285137,0.334814,0.038166,0.132564,0.193123,0.968750,0.741518,1010,"Best feasible sampled candidate, falling back to Top-K projection"
Synthetic ansatz n=4,Binary VQE,strongly_entangling,2,binary_qubo,equal_weight_selected,3,0.285137,0.308159,0.024062,0.118544,0.184414,0.981771,0.922203,1010,"Best feasible sampled candidate, falling back to Top-K projection"
Synthetic ansatz n=4,Classical exact Markowitz,-,0,fractional_simplex,simplex_weights,1,-0.053292,-0.053292,0.000000,0.125046,0.133935,1.000000,0.000000,[0.197536 0.220799 0.308951 0.272714],Exact long-only simplex baseline from active-set enumeration
Synthetic ansatz n=4,Fractional VQE,ry,2,fractional_simplex,simplex_weights,3,-0.053239,-0.053080,0.000161,0.125869,0.134895,1.000000,0.227910,[0.205630 0.210160 0.314340 0.269870],Simplex-normalized allocation
Synthetic ansatz n=4,Fractional VQE,ry_cz,2,fractional_simplex,simplex_weights,3,-0.053265,-0.053107,0.000178,0.125285,0.134327,1.000000,0.349460,[0.199254 0.226735 0.307187 0.266825],Simplex-normalized allocation
Synthetic ansatz n=4,Fractional VQE,ry_rz_cz,2,fractional_simplex,simplex_weights,3,-0.053233,-0.053182,0.000036,0.124302,0.133337,1.000000,0.543332,[0.187943 0.223675 0.307341 0.281041],Simplex-normalized allocation
