dataset,method,type,window,lambda,objective_family,reported_weighting,k,selection_or_weights,bitstring,return,risk,objective,feasible_rate,runtime_seconds,notes
Real data method comparison,Classical exhaustive search,classical,2024-01-01 to 2025-01-01,4,binary_qubo,equal_weight_selected,2,"AAPL, AMZN",1001,0.331913,0.204359,0.004376,1.000000,0.000198,Exact cardinality baseline
Real data method comparison,Classical equal weight,classical heuristic,2024-01-01 to 2025-01-01,4,fractional_simplex,simplex_weights,,[0.250000 0.250000 0.250000 0.250000],,0.447278,0.228856,-0.237777,1.000000,0.000026,Uniform long-only allocation
Real data method comparison,Classical exact Markowitz,classical,2024-01-01 to 2025-01-01,4,fractional_simplex,simplex_weights,,[0.430361 0.000000 0.397103 0.172536],,0.585289,0.269164,-0.295493,1.000000,0.002040,Exact long-only simplex baseline from active-set enumeration
Real data method comparison,Binary VQE best feasible,quantum,2024-01-01 to 2025-01-01,4,binary_qubo,equal_weight_selected,2,"AAPL, MSFT",1100,0.213054,0.180646,0.096018,0.970703,1.449770,Falls back to Top-K projection if needed
Real data method comparison,QAOA X best feasible,quantum,2024-01-01 to 2025-01-01,4,binary_qubo,equal_weight_selected,2,"AAPL, AMZN",1001,0.331913,0.204359,0.004376,0.634766,1.663352,Falls back to Top-K projection if needed
Real data method comparison,QAOA XY best feasible,quantum,2024-01-01 to 2025-01-01,4,binary_qubo,equal_weight_selected,2,"AAPL, MSFT",1100,0.213054,0.180646,0.096018,1.000000,2.368410,Falls back to Top-K projection if needed
Real data method comparison,Fractional VQE,quantum,2024-01-01 to 2025-01-01,4,fractional_simplex,simplex_weights,,[0.416594 0.007169 0.414146 0.162091],,0.595258,0.274312,-0.294270,1.000000,0.941853,Simplex-normalized allocation
